agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Fort Lauderdale Police Department,Local police department,482, , , , , ,1300 West Broward Blvd., , ,Fort Lauderdale,FL,Broward,33312, , , , ,12011
Jackson Police Department,Local police department,480, , , , , ,Po Box 614, , ,Jackson,MS,Hinds,39205, , , , ,28049
Texas Parks & Wildlife Department,Special jurisdiction,480, , , , , ,4200 Smith School Rd,Attn: Randall Odom, ,Austin,TX,Travis,78744, , , , ,48453
Manatee County Sheriff's Office,Sheriff's office,476, , , , , ,600 8Th Ave W Ste A, , ,Palmetto,FL,Manatee,34221, , , , ,12081
Chesterfield County Police Department,Local police department,475, , , , , ,P. O. Box 148, , ,Chesterfield,VA,Chesterfield,23832, , , , ,51041
Utah Department of Public Safety,Primary state law enforcement agency,475, , , , , ,4501 S. 2700 W.,Box 141100, ,Salt Lake City,UT,Salt Lake,84114, , , , ,49035
Akron Police Department,Local police department,472, , , , , ,217 South High Street, , ,Akron,OH,Summit,44308, , , , ,39153
North Las Vegas Police Department,Local police department,471, , , , , ,1301 E. Lake Mead Blvd., , ,North Las Vegas,NV,Clark,89030, , , , ,32003
Springfield Police Department,Local police department,464, , , , , ,Po Box 31, , ,Springfield,MA,Hampden,1105, , , , ,25013
Fresno County Sheriff's Office,Sheriff's office,461, , , , , ,2200 Fresno St, , ,Fresno,CA,Fresno,93721, , , , ,6019
Maryland Transportation Authority Police,Special jurisdiction,456, , , , , ,4330 Broening Hwy, , ,Baltimore,MD,Baltimore,21222, , , , ,24005
Knox County Sheriff's Office,Sheriff's office,456, , , , , ,Po Box 1669, , ,Knoxville,TN,Knox,37902, , , , ,47093
Franklin County Sheriff's Office,Sheriff's office,455, , , , , ,157 Lincoln Way E, , ,Columbus,OH,Franklin,43215, , , , ,39049
Dane County Sheriff's Office,Sheriff's office,454, , , , , ,115 W Doty St,Public Safety Bldg, ,Madison,WI,Dane,53703, , , , ,55025
El Paso County Sheriff's Office,Sheriff's office,454, , , , , ,3850 Justice Drive, , ,Colorado Springs,CO,El Paso,80903, , , , ,8041
Bergen County Sheriff's Office,Sheriff's office,452, , , , , ,10 Main St,Justice Center, ,Hackensack,NJ,Bergen,7601, , , , ,34003
Santa Clara County Sheriff's Office,Sheriff's office,450, , , , , ,55 W Younger Ave, , ,San Jose,CA,Santa Clara,95110, , , , ,6085
Volusia County Sheriff's Office,Sheriff's office,450, , , , , ,Po Box 569,123 W Indiana Ave, ,Deland,FL,Volusia,32721, , , , ,12127
