agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Frisco Police Department,Local police department,130, , , , , ,7200 Stonebrook Parkway, , ,Frisco,TX,Collin,75034, , , , ,48085
Somerville Police Department,Local police department,130, , , , , ,117 W. North St., , ,Somerville,MA,Middlesex,2143, , , , ,25017
Boone County Sheriff's Office,Sheriff's office,130, , , , , ,400 E Prospect Ave, , ,Burlington,KY,Boone,41005, , , , ,21015
Flagler County Sheriff's Office,Sheriff's office,130, , , , , ,1001 Justice Ln, , ,Bunnell,FL,Flagler,32110, , , , ,12035
Highlands County Sheriff's Office,Sheriff's office,130, , , , , ,434 Fernleaf Ave, , ,Sebring,FL,Highlands,33870, , , , ,12055
Troy Police Department,Local police department,129, , , , , ,P.O. Box 246, , ,Troy,MI,Oakland,48084, , , , ,26125
Lawrence Police Department,Local police department,129, , , , , ,90 Lowell St, , ,Lawrence,KS,Douglas,66049, , , , ,20045
Farmington Police Department,Local police department,129, , , , , ,531 Main Street, , ,Farmington,NM,San Juan,87401, , , , ,35045
Douglas County Sheriff's Office,Sheriff's office,129, , , , , ,6856 Broad St, , ,Omaha,NE,Douglas,68116, , , , ,31055
Brookline Police Department,Local police department,129, , , , , ,350 Washington St, , ,Brookline,MA,Norfolk,2445, , , , ,25021
Tangipahoa Parish Sheriff's Office,Sheriff's office,129, , , , , ,15475 Club Deluxe Rd, , ,Hammond,LA,Tangipahoa,70403, , , , ,22105
Erie County Sheriff's Office,Sheriff's office,129, , , , , ,10 Delaware Ave, , ,Buffalo,NY,Erie,14202, , , , ,36029
Fulton County Police Department,Local police department,129, , , , , ,130 Peachtree St.S.W., , ,Atlanta,GA,Fulton,30303, , , , ,13121
Cheektowaga Town Police Department,Local police department,129, , , , , ,3223 Union Road, , ,Cheektowaga,NY,Erie,14227, , , , ,36029
Sarpy County Sheriff's Office,Sheriff's office,129, , , , , ,1208 Golden Gate Dr, , ,Papillion,NE,Sarpy,68046, , , , ,31153
Gresham Police Department,Local police department,129, , , , , ,1333 Nw Eastman Parkway, , ,Gresham,OR,Multnomah,97030, , , , ,41051
Clarke County Sheriff's Office,Sheriff's office,128, , , , , ,220 Town Line Rd,PO Box 537, ,Athens,GA,Clarke,30601, , , , ,13059
Lafayette Police,Local police department,128, , , , , ,20 North 6Th Street, , ,Lafayette,IN,Tippecanoe,47901, , , , ,18157
Robeson County Sheriff's Office,Sheriff's office,128, , , , , ,120 Legend Rd, , ,Lumberton,NC,Robeson,28358, , , , ,37155
Linn County Sheriff's Office,Sheriff's office,128, , , , , ,Po Box 350,107 South 4th, ,Albany,OR,Linn,97321, , , , ,41043
Henderson County Sheriff's Office,Sheriff's office,128, , , , , ,Po Box 228, , ,Hendersonville,NC,Henderson,28792, , , , ,37089
Fargo Police Department,Local police department,127, , , , , ,Po Box 150, , ,Fargo,ND,Cass,58107, , , , ,38017
Springfield Police Department,Local police department,127, , , , , ,Po Box 31, , ,Springfield,OH,Clark,45502, , , , ,39023
Henry County Sheriff's Office,Sheriff's office,127, , , , , ,3250 Kings Mountain Rd, , ,Mcdonough,GA,Henry,30253, , , , ,13151
Brick Township Police,Local police department,127, , , , , ,401 Chambersbridge Rd., , ,Brick,NJ,Ocean,8723, , , , ,34029
Barrow County Sheriff's Office,Sheriff's office,127, , , , , ,30 N Broad St, , ,Winder,GA,Barrow,30680, , , , ,13013
Brazoria County Sheriff's Office,Sheriff's office,127, , , , , ,3602 County Rd 45, , ,Angleton,TX,Brazoria,77515, , , , ,48039
Surprise Police Department,Local police department,127, , , , , ,"14250 W. Statler Plaza, Ste 103", , ,Surprise,AZ,Maricopa,85374, , , , ,4013
Whittier Police Department,Local police department,127, , , , , ,7315 S. Painter Avenue, , ,Whittier,CA,Los Angeles,90602, , , , ,6037
Simi Valley Police Department,Local police department,127, , , , , ,3901 Alamo Street, , ,Simi Valley,CA,Ventura,93063, , , , ,6111
Catawba County Sheriff's Office,Sheriff's office,126, , , , , ,100 Southwest Blvd Bldg B, , ,Newton,NC,Catawba,28658, , , , ,37035
Hattiesburg Police Department,Local police department,126, , , , , ,One Government Plaza, , ,Hattiesburg,MS,Forrest,39401, , , , ,28035
Danville Police Department,Local police department,126, , , , , ,410 W. Main St., , ,Danville,VA,Pittsylvania,24543, , , , ,51143
Franklin Police Department,Local police department,126, , , , , ,9455 West Loomis Road, , ,Franklin,TN,Williamson,37064, , , , ,47187
Sioux City Police Department,Local police department,126, , , , , ,601 Douglas St, , ,Sioux City,IA,Woodbury,51101, , , , ,19193
Roseville Police Department,Local police department,126, , , , , ,29753 Gratiot, , ,Roseville,CA,Placer,95678, , , , ,6061
Fort Pierce Police Department,Local police department,126, , , , , ,Post Office Box 1149, , ,Fort Pierce,FL,St. Lucie,34954, , , , ,12111
Elk Grove Police Department,Local police department,126, , , , , ,8400 Laguna Palms Way, , ,Elk Grove,CA,Sacramento,95758, , , , ,6067
Winnebago County Sheriff's Office,Sheriff's office,126, , , , , ,216 S Clark St,PO Box 66, ,Oshkosh,WI,Winnebago,54901, , , , ,55139
Montgomery County Sheriff's Office,Sheriff's office,126, , , , , ,Po Box 432,200 Clark Dr, ,Montgomery,AL,Montgomery,36103, , , , ,1101
Franklin Township Police,Local police department,125, , , , , ,495 Demott Lane, , ,Somerset,NJ,Somerset,8873, , , , ,34035
Aiken County Sheriff's Office,Sheriff's office,125, , , , , ,420 Hampton Ave Ne, , ,Aiken,SC,Aiken,29801, , , , ,45003
Rio Rancho Department of Public Safety,Local police department,125, , , , , ,500 Quantum Road, , ,Rio Rancho,NM,Sandoval,87124, , , , ,35043
Mission Police Department,Local police department,125, , , , , ,Po Box 337,121 S. Main, ,Mission,TX,Hidalgo,78572, , , , ,48215
Kauai (County) Police Department,Local police department,125, , , , , ,"3990 Kaana St., Suite 200", , ,Lihue,HI,Kauai,96766, , , , ,15007
Temple University Campus Police Dept,Special jurisdiction,125, , , , , ,1101 W. Montgomery Ave., , ,Philadelphia,PA,Philadelphia,19122, , , , ,42101
Pitt County Sheriff's Office,Sheriff's office,125, , , , , ,Po Box 528, , ,Greenville,NC,Pitt,27835, , , , ,37147
Livingston Parish Sheriff's Office,Sheriff's office,125, , , , , ,Po Box 850,20180 Iowa St, ,Livingston,LA,Livingston,70754, , , , ,22063
Wayne County Airport Authority Police,Special jurisdiction,125, , , , , ,10250 Middlebelt Road, , ,Detroit,MI,Wayne,48242, , , , ,26163
Salt River Tribal Police Department,Local police department,125, , , , , ,10005 East Osborn Road, , ,Scottsdale,AZ,Maricopa,85256, , , , ,4013
Rochester Police Department,Local police department,125, , , , , ,P. O. Box 186, , ,Rochester,MN,Olmsted,55904, , , , ,27109
Elkhart Police,Local police department,124, , , , , ,175 Waterfall Drive, , ,Elkhart,IN,Elkhart,46516, , , , ,18039
Allen County Sheriff's Office,Sheriff's office,124, , , , , ,333 N Main St,PO Box 1243, ,Fort Wayne,IN,Allen,46802, , , , ,18003
Hays County Sheriff's Office,Sheriff's office,124, , , , , ,1307 Uhland Rd, , ,San Marcos,TX,Hays,78666, , , , ,48209
Pearland Police Department,Local police department,124, , , , , ,2703 Veterans Drive, , ,Pearland,TX,Brazoria,77584, , , , ,48039
Broken Arrow Police Department,Local police department,124, , , , , ,P. O. Box 610, , ,Broken Arrow,OK,Tulsa,74012, , , , ,40143
Fairfield Police Department,Local police department,124, , , , , ,1 Police Plaza, , ,Fairfield,CA,Solano,94533, , , , ,6095
Beaverton Police Department,Local police department,124, , , , , ,130 Saginaw St, , ,Beaverton,OR,Washington,97076, , , , ,41067
Altamonte Springs Police Department,Local police department,124, , , , , ,225 Newburyport Avenue, , ,Altamonte Springs,FL,Seminole,32701, , , , ,12117
Madison Parish Sheriff's Office,Sheriff's office,123, , , , , ,100 N Cedar St, , ,Tallulah,LA,Madison,71282, , , , ,22065
Holyoke Police Department,Local police department,123, , , , , ,138 Appleton Street, , ,Holyoke,MA,Hampden,1040, , , , ,25013
Harlingen Police Department,Local police department,123, , , , , ,1102 S Commerce, , ,Harlingen,TX,Cameron,78550, , , , ,48061
Walton County Sheriff's Office,Sheriff's office,123, , , , , ,1425 S Madison Ave, , ,Monroe,GA,Walton,30655, , , , ,13297
North Bergen Police,Local police department,123, , , , , ,4233 Kennedy Boulevard, , ,North Bergen,NJ,Hudson,7047, , , , ,34017
Bryan Police Department,Local police department,123, , , , , ,103 North Beech Street, , ,Bryan,TX,Brazos,77805, , , , ,48041
Hillsboro Police Department,Local police department,123, , , , , ,Po Box 125, , ,Hillsboro,OR,Washington,97123, , , , ,41067
Bloomington Police Dept,Local police department,122, , , , , ,305 South East,P.O. Box 3157, ,Bloomington,IL,McLean,61702, , , , ,17113
Gaston County Sheriff's Office,Sheriff's office,122, , , , , ,Po Box 1578, , ,Gastonia,NC,Gaston,28053, , , , ,37071
Renton Police Department,Local police department,122, , , , , ,1055 S Grady Way, , ,Renton,WA,King,98057, , , , ,53033
West Haven Police Department,Local police department,122, , , , , ,200 Saw Mill Road, , ,West Haven,CT,New Haven,6516, , , , ,9009
Champaign Police Dept,Local police department,122, , , , , ,82 E University Ave, , ,Champaign,IL,Champaign,61820, , , , ,17019
Bolingbrook Police Dept,Local police department,122, , , , , ,375 W Briarcliff Rd, , ,Bolingbrook,IL,Will,60440, , , , ,17197
West Hartford Police Department,Local police department,122, , , , , ,103 Raymond Road, , ,West Hartford,CT,Hartford,6107, , , , ,9003
Bradenton Police Department,Local police department,122, , , , , ,100 10Th Street West, , ,Bradenton,FL,Manatee,34205, , , , ,12081
Roswell Police Department,Local police department,122, , , , , ,P.O. Box 1994, , ,Roswell,GA,Fulton,30075, , , , ,13121
North Miami Police Department,Local police department,122, , , , , ,P. O.  Box 53, , ,North Miami,FL,Miami-Dade,33161, , , , ,12086
Kenosha County Sheriff's Office,Sheriff's office,122, , , , , ,1000 55Th St, , ,Kenosha,WI,Kenosha,53140, , , , ,55059
Sussex County Sheriff's Office,Sheriff's office,122, , , , , ,Po Box 1326,20212 Thornton Square, ,Newton,NJ,Sussex,7860, , , , ,34037
Troy Police Department,Local police department,121, , , , , ,P.O. Box 246, , ,Troy,NY,Rensselaer,12180, , , , ,36083
Rock Hill Police Department,Local police department,121, , , , , ,120 East Black Street, , ,Rock Hill,SC,York,29730, , , , ,45091
Weld County Sheriff's Office,Sheriff's office,121, , , , , ,1950 O St, , ,Greeley,CO,Weld,80631, , , , ,8123
Kitsap County Sheriff's Office,Sheriff's office,121, , , , , ,614 Division St #Ms-37, , ,Port Orchard,WA,Kitsap,98366, , , , ,53035
Rowan County Sheriff's Office,Sheriff's office,121, , , , , ,County Courthouse, , ,Salisbury,NC,Rowan,28144, , , , ,37159
Weber County Sheriff's Office,Sheriff's office,121, , , , , ,721 W 12Th St, , ,Ogden,UT,Weber,84404, , , , ,49057
Ramapo Town Police Department,Local police department,120, , , , , ,237 Route 59, , ,Suffern,NY,Rockland,10901, , , , ,36087
West Orange Police,Local police department,120, , , , , ,66 Main Street, , ,West Orange,NJ,Essex,7052, , , , ,34013
New York City Sheriff's Office,Sheriff's office,120, , , , , ,31 Chambers St Fl 6, , ,New York,NY,New York,10007, , , , ,36061
El Cajon Police Department,Local police department,120, , , , , ,100 Fletcher Parkway, , ,El Cajon,CA,San Diego,92020, , , , ,6073
Margate Police Department,Local police department,120, , , , , ,5790 Margate Boulevard, , ,Margate,FL,Broward,33063, , , , ,12011
Hawaii Dept. of Land And Natural Resources - DOCARE,Special jurisdiction,120, , , , , ,1151 Punchbowl St.,Room 311, ,Honolulu,HI,Honolulu,96819, , , , ,15003
Waterloo Police Department,Local police department,120, , , , , ,136 North Monroe Street, , ,Waterloo,IA,Black Hawk,50703, , , , ,19013
Antioch Police Department,Local police department,120, , , , , ,300 L Street, , ,Antioch,CA,Contra Costa,94509, , , , ,6013
Sandy Springs Police Department,Local police department,120, , , , , ,5995 Barfield Road, , ,Sandy Springs,GA,Fulton,30328, , , , ,13121
Albemarle County Police Department,Local police department,120, , , , , ,"1600 5Th St, Suite D", , ,Charlottesville,VA,Albemarle,22902, , , , ,51003
Illinois Secretary of State Police,Special jurisdiction,120, , , , , ,110 E. Adams, , ,Springfield,IL,Sangamon,62701, , , , ,17167
St. Mary's County Sheriff's Office,Sheriff's office,120, , , , , ,23150 Leonard Hall Dr, , ,Leonardtown,MD,St. Marys,20650, , , , ,24037
Nampa Police Department,Local police department,119, , , , , ,211 12Th Ave S, , ,Nampa,ID,Canyon,83651, , , , ,16027
Spartanburg Public Safety Department,Local police department,119, , , , , ,Po Box 1746, , ,Spartanburg,SC,Spartanburg,29304, , , , ,45083
West New York Police,Local police department,119, , , , , ,428-60Th Street, , ,West New York,NJ,Hudson,7093, , , , ,34017
Lee's Summit Police Department,Local police department,119, , , , , ,10 Ne Tudor Rd, , ,Lee'S Summit,MO,Jackson,64086, , , , ,29095
Utah County Sheriff's Office,Sheriff's office,119, , , , , ,3075 N Main St,PO Box 330, ,Spanish Fork,UT,Utah,84660, , , , ,49049
Bristol Police Department,Local police department,119, , , , , ,501 Scott Street, , ,Bristol,CT,Hartford,6010, , , , ,9003
Shelby County Sheriff's Office,Sheriff's office,119, , , , , ,"501 Main St, Courthouse, Ste 8", , ,Columbiana,AL,Shelby,35051, , , , ,1117
New York City Bureau of Fire Investigation,Special jurisdiction,119, , , , , ,9 Metrotech Center, , ,Brooklyn,NY,Kings,11201, , , , ,36047
West Covina Police Department,Local police department,119, , , , , ,1444 W. Garvey Ave. S, , ,West Covina,CA,Los Angeles,91790, , , , ,6037
Kearny Police,Local police department,119, , , , , ,237 Laurel Avenue, , ,Kearny,NJ,Hudson,7032, , , , ,34017
Sumter County Sheriff's Office,Sheriff's office,118, , , , , ,107 E Hampton Ave, , ,Sumter,SC,Sumter,29150, , , , ,45085
Port Arthur Police Department,Local police department,118, , , , , ,P. O. Box 1089, , ,Port Arthur,TX,Jefferson,77641, , , , ,48245
Farmington Hills Police Department,Local police department,118, , , , , ,31655 W Eleven Mile Rd, , ,Farmington,MI,Oakland,48336, , , , ,26125
Framingham Police Department,Local police department,118, , , , , ,1 William Welch Way, , ,Framingham,MA,Middlesex,1702, , , , ,25017
Sauk County Sheriff's Office,Sheriff's office,118, , , , , ,1300 Lange Ct, , ,Baraboo,WI,Sauk,53913, , , , ,55111
Wisconsin Department of Transportation Safety & Office of Highway,Special jurisdiction,118, , , , , ,"4802 Sheboygan Avenue, Room 551", , ,Madison,WI,Dane,53707, , , , ,55025
Maine Inland Fish And Wildlife Department,Special jurisdiction,117, , , , , ,284 State St #41, , ,Augusta,ME,Kennebec,4330, , , , ,23011
Oswego County Sheriff's Office,Sheriff's office,117, , , , , ,39 Churchill Rd, , ,Oswego,NY,Oswego,13126, , , , ,36075
Wayne Township Police,Local police department,117, , , , , ,475 Valley Road, , ,Wayne,NJ,Passaic,7470, , , , ,34031
Anderson Police,Local police department,117, , , , , ,1040 Main Street, , ,Anderson,IN,Madison,46016, , , , ,18095
Hackensack Police,Local police department,117, , , , , ,225 State Street, , ,Hackensack,NJ,Bergen,7601, , , , ,34003
Hudson County Prosecutor's Chief,Special jurisdiction,117, , , , , ,Administration Building,595 Newark Avenue, ,Jersey City,NJ,Hudson,7306, , , , ,34017
Springdale Police Department,Local police department,117, , , , , ,2915 Platt Springs Road, , ,Springdale,AR,Washington,72764, , , , ,5143
Bergen County Prosecutor's Chief,Special jurisdiction,117, , , , , ,Bergen County Justice Center,"10 Main Street, Room 215", ,Hackensack,NJ,Bergen,7601, , , , ,34003
Fayetteville Police Department,Local police department,117, , , , , ,308 West Market Street, , ,Fayetteville,AR,Washington,72701, , , , ,5143
Greenburgh Town Police Department,Local police department,116, , , , , ,188 Tarrytown Road, , ,White Plains,NY,Westchester,10607, , , , ,36119
Wyandotte County Sheriff's Office,Sheriff's office,116, , , , , ,710 N 7Th St, , ,Kansas City,KS,Wyandotte,66101, , , , ,20209
Bloomington Police Department,Local police department,116, , , , , ,1800 W. Old Shakopee Rd., , ,Bloomington,MN,Hennepin,55431, , , , ,27053
Iowa Department of Transportation - Motor Vehicle Division,Special jurisdiction,116, , , , , ,100 E Euclid Ave,6310 SE CONVENIENCE, ,Ankeny,IA,Polk,50021, , , , ,19153
East Point Police Department,Local police department,116, , , , , ,2727 East Point Street, , ,East Point,GA,Fulton,30344, , , , ,13121
Manchester Police Department,Local police department,116, , , , , ,"3215 Long Lane, P.O.Box 830", , ,Manchester,CT,Hartford,6045, , , , ,9003
Vallejo Police Department,Local police department,116, , , , , ,111 Amador Street, , ,Vallejo,CA,Solano,94590, , , , ,6095
Greene County Sheriff's Office,Sheriff's office,116, , , , , ,400 Morrow Ave,PO Box 109, ,Springfield,MO,Greene,65802, , , , ,29077
Charlottesville Police Dept.,Local police department,115, , , , , ,606 E. Market St., , ,Charlottesville,VA,Charlottesville City,22902, , , , ,51540
Clay County Sheriff's Office,Sheriff's office,115, , , , , ,539 Lincoln Ave,PO Box 115, ,Liberty,MO,Clay,64068, , , , ,29047
Oak Park Police Dept,Local police department,115, , , , , ,1 Village Hall Plaza, , ,Oak Park,IL,Cook,60302, , , , ,17031
Ottawa County Sheriff's Office,Sheriff's office,115, , , , , ,315 Madison St,Room 110, ,West Olive,MI,Ottawa,49460, , , , ,26139
Tupelo Police Department,Local police department,115, , , , , ,P. O. Box 360, , ,Tupelo,MS,Lee,38804, , , , ,28081
Orange County Sheriff's Office,Sheriff's office,115, , , , , ,Po Box 1468, , ,Hillsborough,NC,Orange,27278, , , , ,37135
Whitfield County Sheriff's Office,Sheriff's office,115, , , , , ,805 Professional Blvd, , ,Dalton,GA,Whitfield,30720, , , , ,13313
Lauderhill Police Department,Local police department,115, , , , , ,6279 West Oakland Park Blvd., , ,Lauderhill,FL,Broward,33313, , , , ,12011
Montgomery County Sheriff's Office,Sheriff's office,115, , , , , ,Po Box 432,200 Clark Dr, ,Christiansburg,VA,Montgomery,24073, , , , ,51121
Arlington Heights Police Department,Local police department,114, , , , , ,200 East Sigwalt Street, , ,Arlington Heights,IL,Cook,60005, , , , ,17031
Annapolis Police Department,Local police department,114, , , , , ,199 Taylor Ave, , ,Annapolis,MD,Anne Arundel,21401, , , , ,24003
Brunswick County Sheriff's Office,Sheriff's office,114, , , , , ,Po Box 9, , ,Bolivia,NC,Brunswick,28422, , , , ,37019
Wilson Police Department,Local police department,114, , , , , ,Po Box 454, , ,Wilson,NC,Wilson,27894, , , , ,37195
Hickory Police Department,Local police department,114, , , , , ,Post Office Box 10, , ,Hickory,NC,Catawba,28602, , , , ,37035
Dougherty County Sheriff's Office,Sheriff's office,114, , , , , ,P.O. Box 549, , ,Albany,GA,Dougherty,31702, , , , ,13095
St. Joseph Police Dept,Local police department,114, , , , , ,501 Faraon, , ,St Joseph,MO,Buchanan,64501, , , , ,29021
Cook County Forest Preserve District Police,Special jurisdiction,114, , , , , ,536 N Harlem Ave, , ,River Forest,IL,Cook,60305, , , , ,17031
Houston County Sheriff's Office,Sheriff's office,114, , , , , ,3330 State Hwy 149, , ,Warner Robins,GA,Houston,31088, , , , ,13153
Putnam County Sheriff's Office,Sheriff's office,114, , , , , ,13 Keightly Rd,PO Box 495, ,Palatka,FL,Putnam,32177, , , , ,12107
Palm Beach Gardens Police Department,Local police department,114, , , , , ,10500 No. Military Trail, , ,Palm Beach Gardens,FL,Palm Beach,33410, , , , ,12099
Carlsbad Police Department,Local police department,114, , , , , ,2560 Orion Way, , ,Carlsbad,CA,San Diego,92010, , , , ,6073
Harris County Constable Pct. 3,Constable/marshal,114, , , , , ,701 W. Baker Rd., , ,Baytown,TX,Harris,77521, , , , ,48201
Jackson County Sheriff's Office,Sheriff's office,114, , , , , ,Po Box 98, , ,Medford,OR,Jackson,97501, , , , ,41029
Clayton County Sheriff's Office,Sheriff's office,113, , , , , ,P.O. Box 10,22680 230th Street, ,Jonesboro,GA,Clayton,30236, , , , ,13063
Bannock County Sheriff's Office,Sheriff's office,113, , , , , ,Po Box 4666, , ,Pocatello,ID,Bannock,83205, , , , ,16005
Fauquier County Sheriff's Office,Sheriff's office,113, , , , , ,78 W Lee St Ste 200, , ,Warrenton,VA,Fauquier,20186, , , , ,51061
Battle Creek Police Department,Local police department,113, , , , , ,20 North Division, , ,Battle Creek,MI,Calhoun,49014, , , , ,26025
Virginia Alcohol Beverage Control  - Bureau of Law Enforcement,Special jurisdiction,113, , , , , ,P.O. Box 27491, , ,Richmond,VA,Richmond City,23261, , , , ,51760
Colorado State Parks - Enforcement,Special jurisdiction,113, , , , , ,13787 S Highway 85, , ,Littleton,CO,Douglas,80125, , , , ,8035
Flagstaff Police Department,Local police department,113, , , , , ,911 East Sawmill Road, , ,Flagstaff,AZ,Coconino,86001, , , , ,4005
Solano County Sheriff's Office,Sheriff's office,113, , , , , ,530 Union Ave Ste 100, , ,Fairfield,CA,Solano,94533, , , , ,6095
Pittsylvania County Sheriff's Office,Sheriff's office,113, , , , , ,21 N. Main Street,P.O. Box 407, ,Chatham,VA,Pittsylvania,24531, , , , ,51143
Oklahoma Dept. of Wildlife Conservation,Special jurisdiction,113, , , , , ,1801 N. Lincoln, , ,"Okla. City,",OK,Oklahoma,73105, , , , ,40109
Meriden Police Department,Local police department,113, , , , , ,50 West Main Street, , ,Meriden,CT,New Haven,6451, , , , ,9009
Daly City Police Department,Local police department,113, , , , , ,333 - 90Th Street, , ,Daly City,CA,San Mateo,94015, , , , ,6081
Covington Police Department,Local police department,112, , , , , ,One Police Memorial Dr., , ,Covington,KY,Kenton,41014, , , , ,21117
Pulaski County Sheriff's Office,Sheriff's office,112, , , , , ,301 Highway 44E Ste 136, , ,Little Rock,AR,Pulaski,72204, , , , ,5119
Jacksonville Police Department,Local police department,112, , , , , ,Po Drawer 436, , ,Jacksonville,NC,Onslow,28541, , , , ,37133
Henry County Sheriff's Office,Sheriff's office,112, , , , , ,3250 Kings Mountain Rd, , ,Martinsville,VA,Henry,24112, , , , ,51089
Skokie Police Dept,Local police department,112, , , , , ,8350 Laramie, , ,Skokie,IL,Cook,60077, , , , ,17031
Sparks Police Department,Local police department,112, , , , , ,Post Office Box 186, , ,Sparks,NV,Washoe,89434, , , , ,32031
Hempstead Village Police Department,Local police department,112, , , , , ,99 Nichols Court, , ,Hempstead,NY,Nassau,11550, , , , ,36059
Saratoga County Sheriff's Office,Sheriff's office,112, , , , , ,6010 County Farm Rd, , ,Ballston Spa,NY,Saratoga,12020, , , , ,36091
Taunton Police Department,Local police department,112, , , , , ,23 Summer Street, , ,Taunton,MA,Bristol,2780, , , , ,25005
Chapel Hill Police Department,Local police department,112, , , , , ,P.O. Box 157, , ,Chapel Hill,NC,Orange,27514, , , , ,37135
